iter	Recall	Logloss
0	0.0009727626459	0.5201999398
1	0.1206225681	0.4229760381
2	0.1206225681	0.3802143402
3	0.1225680934	0.3620243911
4	0.1546692607	0.3469721377
5	0.1556420233	0.3379633752
6	0.1517509728	0.3338322322
7	0.1556420233	0.3293198362
8	0.1605058366	0.3270541791
9	0.1585603113	0.3252492894
10	0.1605058366	0.3235903959
11	0.1605058366	0.3217840621
12	0.1605058366	0.31944484
13	0.1585603113	0.3179668859
14	0.1605058366	0.3171797482
15	0.1614785992	0.3160522084
16	0.1663424125	0.3142652979
17	0.1663424125	0.3124885478
18	0.1673151751	0.3108212346
19	0.1682879377	0.3105016922
20	0.1692607004	0.309717243
21	0.1692607004	0.3073451912
22	0.170233463	0.30571216
23	0.1721789883	0.3045353075
24	0.1741245136	0.3023507494
25	0.1741245136	0.301528314
26	0.1770428016	0.2989490787
27	0.1760700389	0.2984425648
28	0.1770428016	0.2968209963
29	0.1760700389	0.2941642346
30	0.1789883268	0.2928945972
31	0.1799610895	0.2928202461
32	0.1809338521	0.2903611597
33	0.1819066148	0.2891010178
34	0.1809338521	0.2882643355
35	0.1828793774	0.2870415681
36	0.1877431907	0.2851496336
37	0.1877431907	0.284395802
38	0.1906614786	0.2830411254
39	0.1916342412	0.2822444523
40	0.1926070039	0.2816946277
41	0.1955252918	0.2804638676
42	0.2023346304	0.2798712755
43	0.203307393	0.2791832491
44	0.2062256809	0.2773824051
45	0.2091439689	0.2764908468
46	0.2110894942	0.2753696032
47	0.21692607	0.2730346937
48	0.2178988327	0.2714589903
49	0.2208171206	0.2709705088
50	0.2208171206	0.2697158127
51	0.2276264591	0.2680710911
52	0.2266536965	0.2672569039
53	0.2256809339	0.266635753
54	0.2247081712	0.2651191126
55	0.2305447471	0.2638702419
56	0.233463035	0.2624218563
57	0.2373540856	0.26101299
58	0.2392996109	0.2589851752
59	0.2402723735	0.2588690015
60	0.2431906615	0.2584641089
61	0.2480544747	0.2578990175
62	0.25	0.2574038318
63	0.2538910506	0.2566040129
64	0.2529182879	0.2558549729
65	0.2509727626	0.254718503
66	0.2529182879	0.253856369
67	0.2577821012	0.2527816901
68	0.2587548638	0.25230133
69	0.2607003891	0.2515669783
70	0.2607003891	0.2507327862
71	0.2607003891	0.2507203251
72	0.2645914397	0.2500146943
73	0.2684824903	0.2494362046
74	0.2714007782	0.2476050616
75	0.2733463035	0.2464238541
76	0.2743190661	0.2449778284
77	0.2782101167	0.2440299779
78	0.2782101167	0.2435512872
79	0.28307393	0.2428376453
80	0.2859922179	0.2426736908
81	0.2840466926	0.2420162151
82	0.2889105058	0.2412870904
83	0.2908560311	0.2403363978
84	0.2937743191	0.2392712587
85	0.296692607	0.2381248914
86	0.2957198444	0.2374367022
87	0.2996108949	0.2357710185
88	0.3025291829	0.234762843
89	0.3093385214	0.2324677324
90	0.3161478599	0.2311929809
91	0.3190661479	0.2306447254
92	0.3190661479	0.2296211142
93	0.3200389105	0.2282899756
94	0.3200389105	0.2275160541
95	0.3219844358	0.2257626553
96	0.3249027237	0.2248904062
97	0.3258754864	0.2246265676
98	0.326848249	0.2241590775
99	0.329766537	0.2235061895
100	0.3317120623	0.2227889258
101	0.3317120623	0.2227742588
102	0.3356031128	0.2219585465
103	0.3336575875	0.2215029305
104	0.3385214008	0.2200564661
105	0.3414396887	0.2179208726
106	0.343385214	0.2168527687
107	0.3463035019	0.215828848
108	0.3560311284	0.2143860176
109	0.3579766537	0.2136408549
110	0.3589494163	0.2134860042
111	0.3628404669	0.212056821
112	0.3638132296	0.2112301068
113	0.3647859922	0.2100632062
114	0.3667315175	0.2089752133
115	0.3715953307	0.2074387996
116	0.3745136187	0.2067389439
117	0.3754863813	0.2059177981
118	0.3754863813	0.2051710965
119	0.3784046693	0.2046558625
120	0.3803501946	0.2032286989
121	0.3861867704	0.2017290612
122	0.3920233463	0.2009596976
123	0.3939688716	0.2008205185
124	0.3939688716	0.1998503373
125	0.3968871595	0.1991151327
126	0.3998054475	0.1986100038
127	0.4017509728	0.1976239228
128	0.4114785992	0.1968904412
129	0.4105058366	0.1961218876
130	0.4114785992	0.1955638189
131	0.4114785992	0.1947831578
132	0.4124513619	0.1937525314
133	0.4124513619	0.1930019237
134	0.4153696498	0.1928616605
135	0.4192607004	0.1923202095
136	0.4212062257	0.1917499465
137	0.423151751	0.1905093766
138	0.423151751	0.1892674347
139	0.4270428016	0.188676913
140	0.4270428016	0.1883808515
141	0.4299610895	0.1875511778
142	0.4387159533	0.1860271425
143	0.4406614786	0.1856560586
144	0.4426070039	0.1853223586
145	0.4474708171	0.184587578
146	0.4464980545	0.1839333586
147	0.4503891051	0.1831351332
148	0.4523346304	0.1821951053
149	0.4552529183	0.1818897545
150	0.4552529183	0.1814090217
151	0.453307393	0.1807216423
152	0.4591439689	0.1800792372
153	0.4610894942	0.179038863
154	0.4640077821	0.177821311
155	0.4688715953	0.1766071385
156	0.469844358	0.175866497
157	0.4756809339	0.1746514712
158	0.4756809339	0.174539782
159	0.4776264591	0.1737525917
160	0.4844357977	0.1727143322
161	0.486381323	0.1713124762
162	0.4912451362	0.1705670977
163	0.5019455253	0.1697823178
164	0.5019455253	0.1695659242
165	0.5038910506	0.1689891993
166	0.5038910506	0.1683894327
167	0.5116731518	0.167403147
168	0.5116731518	0.16697209
169	0.5145914397	0.1663812542
170	0.5155642023	0.1648527447
171	0.5175097276	0.1639999324
