iter	Passed	Remaining
0	11	3446
1	27	4070
2	40	3987
3	46	3424
4	61	3618
5	75	3690
6	92	3884
7	109	3997
8	125	4050
9	137	3999
10	150	3954
11	164	3955
12	187	4128
13	201	4107
14	218	4157
15	232	4131
16	242	4036
17	256	4019
18	270	4003
19	282	3958
20	297	3946
21	310	3928
22	324	3911
23	336	3874
24	350	3851
25	361	3809
26	374	3790
27	386	3757
28	399	3735
29	412	3716
30	428	3714
31	435	3649
32	450	3645
33	463	3627
34	476	3609
35	490	3595
36	504	3585
37	518	3573
38	531	3556
39	545	3545
40	557	3524
41	571	3508
42	585	3497
43	596	3472
44	609	3455
45	623	3442
46	640	3449
47	653	3432
48	667	3416
49	680	3403
50	693	3383
51	706	3367
52	718	3348
53	732	3335
54	746	3323
55	760	3312
56	774	3300
57	788	3290
58	801	3273
59	814	3256
60	827	3243
61	845	3244
62	859	3231
63	872	3217
64	884	3197
65	897	3182
66	910	3166
67	923	3151
68	938	3140
69	951	3126
70	965	3112
71	978	3097
72	992	3086
73	1005	3071
74	1020	3061
75	1034	3048
76	1050	3041
77	1064	3030
78	1078	3017
79	1093	3005
80	1106	2991
81	1121	2981
82	1135	2968
83	1150	2957
84	1163	2942
85	1178	2931
86	1192	2919
87	1205	2904
88	1219	2890
89	1233	2877
90	1246	2862
91	1262	2853
92	1276	2840
93	1290	2829
94	1304	2815
95	1317	2799
96	1330	2785
97	1343	2770
98	1357	2755
99	1371	2742
100	1386	2731
101	1398	2715
102	1412	2700
103	1425	2685
104	1438	2670
105	1451	2657
106	1467	2646
107	1480	2632
108	1494	2618
109	1507	2603
110	1521	2589
111	1535	2577
112	1550	2565
113	1563	2551
114	1576	2536
115	1590	2522
116	1603	2508
117	1617	2495
118	1631	2482
119	1645	2468
120	1659	2455
121	1676	2446
122	1690	2432
123	1703	2418
124	1717	2404
125	1731	2391
126	1745	2377
127	1759	2364
128	1773	2350
129	1786	2336
130	1805	2329
131	1819	2315
132	1832	2301
133	1846	2288
134	1861	2275
135	1874	2260
136	1889	2248
137	1904	2235
138	1919	2222
139	1933	2209
140	1947	2195
141	1959	2180
142	1972	2166
143	1987	2153
144	2000	2138
145	2014	2125
146	2028	2111
147	2043	2098
148	2057	2085
149	2070	2070
150	2083	2056
151	2100	2045
152	2115	2032
153	2129	2018
154	2142	2004
155	2155	1989
156	2170	1976
157	2186	1964
158	2199	1950
159	2213	1937
160	2227	1923
161	2240	1908
162	2254	1895
163	2268	1881
164	2282	1867
165	2293	1851
166	2309	1839
167	2322	1824
168	2334	1809
169	2349	1796
170	2363	1782
171	2377	1769
172	2392	1756
173	2405	1741
174	2419	1727
175	2432	1714
176	2446	1700
177	2460	1686
178	2474	1672
179	2487	1658
180	2501	1644
181	2516	1631
182	2532	1619
183	2543	1603
184	2557	1589
185	2571	1576
186	2585	1562
187	2599	1548
188	2613	1534
189	2627	1521
190	2640	1506
191	2654	1492
192	2667	1478
193	2681	1465
194	2694	1451
195	2708	1437
196	2724	1424
197	2739	1411
198	2753	1397
199	2767	1383
200	2780	1369
201	2794	1355
202	2807	1341
203	2820	1327
204	2833	1313
205	2847	1299
206	2862	1285
207	2876	1272
208	2890	1258
209	2904	1244
210	2918	1230
211	2935	1218
212	2949	1204
213	2962	1190
214	2975	1176
215	2987	1161
216	3001	1147
217	3014	1133
218	3027	1119
219	3041	1106
220	3055	1092
221	3067	1077
222	3081	1063
223	3094	1049
224	3107	1035
225	3121	1021
226	3135	1008
227	3150	994
228	3163	980
229	3177	967
230	3191	953
231	3205	939
232	3219	925
233	3239	913
234	3255	900
235	3269	886
236	3283	872
237	3297	859
238	3315	846
239	3331	832
240	3347	819
241	3360	805
242	3374	791
243	3387	777
244	3400	763
245	3414	749
246	3428	735
247	3442	721
248	3456	707
249	3469	693
250	3484	680
251	3497	666
252	3510	652
253	3523	638
254	3537	624
255	3554	610
256	3570	597
257	3586	583
258	3602	570
259	3614	556
260	3628	542
261	3642	528
262	3654	514
263	3668	500
264	3684	486
265	3698	472
266	3711	458
267	3725	444
268	3738	430
269	3751	416
270	3767	403
271	3779	389
272	3792	375
273	3806	361
274	3820	347
275	3834	333
276	3848	319
277	3861	305
278	3876	291
279	3889	277
280	3903	263
281	3917	250
282	3930	236
283	3945	222
284	3959	208
285	3974	194
286	3989	180
287	4002	166
288	4016	152
289	4030	138
290	4044	125
291	4057	111
292	4070	97
293	4084	83
294	4097	69
295	4110	55
296	4125	41
297	4139	27
298	4152	13
299	4166	0
