,is_bad,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose_cat,zip_code,addr_state,debt_to_income,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mths_since_last_major_derog,policy_code,cr_line_yrs,cr_line_mths
0,0,10,mortgage,50000.0,not verified,n,medical,766xx,tx,10.87,0.0,0.0,0.0,119,15.0,0,12087,12.1,44.0,f,1,pc4,1992.0,12
1,0,1,rent,39216.0,not verified,n,debt consolidation,660xx,ks,9.15,0.0,2.0,0.0,119,4.0,0,10114,64.0,5.0,f,2,pc1,2005.0,11
2,0,4,rent,65000.0,not verified,n,credit card,916xx,ca,11.24,0.0,0.0,0.0,119,4.0,0,81,0.6,8.0,f,3,pc4,1970.0,6
3,0,10,mortgage,57500.0,not verified,n,debt consolidation,124xx,ny,6.18,1.0,0.0,16.0,119,6.0,0,10030,37.1,23.0,f,2,pc2,1982.0,9
4,0,10,mortgage,50004.0,verified - income,n,debt consolidation,439xx,oh,19.03,0.0,4.0,0.0,119,8.0,0,10740,40.4,21.0,f,3,pc3,1999.0,10
5,0,4,rent,47028.0,verified - income,n,other,200xx,dc,7.83,2.0,1.0,19.0,119,6.0,0,1715,26.4,25.0,f,3,pc3,1999.0,12
6,0,10,mortgage,126000.0,not verified,n,credit card,103xx,ny,14.28,0.0,0.0,0.0,119,18.0,0,5466,11.1,29.0,f,3,pc1,1979.0,11
7,0,6,mortgage,42000.0,verified - income source,n,debt consolidation,891xx,nv,10.29,0.0,0.0,0.0,119,9.0,0,10354,95.9,10.0,f,3,pc3,2006.0,4
8,0,2,mortgage,50000.0,verified - income,n,debt consolidation,612xx,il,15.36,0.0,2.0,0.0,119,11.0,0,19662,59.2,27.0,f,1,pc5,2001.0,2
9,0,1,rent,40000.0,not verified,n,car,926xx,ca,6.48,0.0,1.0,0.0,119,11.0,0,19998,18.3,23.0,f,1,pc5,1995.0,5
