,emp_length,annual_inc,debt_to_income,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,collections_12_mths_ex_med,mths_since_last_major_derog,cr_line_yrs,cr_line_mths,cr_line_days,is_bad,purpose_cat,policy_code,home_ownership,verification_status,initial_list_status,pymnt_plan,zip_code,addr_state,emp_title
0,10,50000.0,10.87,0.0,0.0,,,15.0,0.0,12087,12.1,44.0,0.0,1,1992.0,12.0,1.0,0,14,3,0,0,0,0,555,42,6936
1,1,39216.0,9.15,0.0,2.0,,,4.0,0.0,10114,64.0,5.0,0.0,2,2005.0,11.0,1.0,0,4,0,4,0,0,0,487,16,5085
2,4,65000.0,11.24,0.0,0.0,,,4.0,0.0,81,0.6,8.0,0.0,3,1970.0,6.0,1.0,0,2,3,4,0,0,0,649,4,3756
3,10,57500.0,6.18,1.0,0.0,16.0,,6.0,0.0,10030,37.1,23.0,0.0,2,1982.0,9.0,1.0,0,4,1,0,0,0,0,88,33,7005
4,10,50004.0,19.03,0.0,4.0,,,8.0,0.0,10740,40.4,21.0,0.0,3,1999.0,10.0,1.0,0,4,2,0,1,0,0,348,34,772
5,4,47028.0,7.83,2.0,1.0,19.0,,6.0,0.0,1715,26.4,25.0,0.0,3,1999.0,12.0,1.0,0,18,2,4,1,0,0,158,7,642
6,10,126000.0,14.28,0.0,0.0,,,18.0,0.0,5466,11.1,29.0,0.0,3,1979.0,11.0,1.0,0,2,0,0,0,0,0,67,33,5233
7,6,42000.0,10.29,0.0,0.0,,,9.0,0.0,10354,95.9,10.0,0.0,3,2006.0,4.0,1.0,0,4,2,0,2,0,0,630,32,3088
8,2,50000.0,15.36,0.0,2.0,,,11.0,0.0,19662,59.2,27.0,0.0,1,2001.0,2.0,1.0,0,4,4,0,1,0,0,448,14,3642
9,1,40000.0,6.48,0.0,1.0,,,11.0,0.0,19998,18.3,23.0,0.0,1,1995.0,5.0,1.0,0,0,4,4,0,0,0,658,4,4639
10,3,74000.0,17.11,0.0,0.0,,,10.0,0.0,15046,39.9,18.0,0.0,1,1990.0,12.0,1.0,0,2,3,4,2,0,0,654,4,4639
