,emp_length,annual_inc,debt_to_income,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,collections_12_mths_ex_med,mths_since_last_major_derog,cr_line_yrs,cr_line_mths,cr_line_days,is_bad,purpose_cat,emp_title,policy_code,zip_code,home_ownership,initial_list_status,addr_state,verification_status,pymnt_plan
0,10,50000.0,10.87,0.0,0.0,,,15.0,0.0,12087,12.1,44.0,0.0,1,1992.0,12.0,1.0,0,14,6936,3,555,0,0,42,0,0
1,1,39216.0,9.15,0.0,2.0,,,4.0,0.0,10114,64.0,5.0,0.0,2,2005.0,11.0,1.0,0,4,5085,0,487,4,0,16,0,0
2,4,65000.0,11.24,0.0,0.0,,,4.0,0.0,81,0.6,8.0,0.0,3,1970.0,6.0,1.0,0,2,3756,3,649,4,0,4,0,0
3,10,57500.0,6.18,1.0,0.0,16.0,,6.0,0.0,10030,37.1,23.0,0.0,2,1982.0,9.0,1.0,0,4,7005,1,88,0,0,33,0,0
4,10,50004.0,19.03,0.0,4.0,,,8.0,0.0,10740,40.4,21.0,0.0,3,1999.0,10.0,1.0,0,4,772,2,348,0,0,34,1,0
5,4,47028.0,7.83,2.0,1.0,19.0,,6.0,0.0,1715,26.4,25.0,0.0,3,1999.0,12.0,1.0,0,18,642,2,158,4,0,7,1,0
6,10,126000.0,14.28,0.0,0.0,,,18.0,0.0,5466,11.1,29.0,0.0,3,1979.0,11.0,1.0,0,2,5233,0,67,0,0,33,0,0
7,6,42000.0,10.29,0.0,0.0,,,9.0,0.0,10354,95.9,10.0,0.0,3,2006.0,4.0,1.0,0,4,3088,2,630,0,0,32,2,0
8,2,50000.0,15.36,0.0,2.0,,,11.0,0.0,19662,59.2,27.0,0.0,1,2001.0,2.0,1.0,0,4,3642,4,448,0,0,14,1,0
9,1,40000.0,6.48,0.0,1.0,,,11.0,0.0,19998,18.3,23.0,0.0,1,1995.0,5.0,1.0,0,0,4639,4,658,4,0,4,0,0
10,3,74000.0,17.11,0.0,0.0,,,10.0,0.0,15046,39.9,18.0,0.0,1,1990.0,12.0,1.0,0,2,4639,3,654,4,0,4,2,0
11,5,112000.0,14.96,0.0,0.0,,,12.0,0.0,25274,39.5,24.0,0.0,1,1993.0,6.0,1.0,0,4,1961,2,158,4,0,7,0,0
12,1,148080.0,15.88,0.0,2.0,,,12.0,0.0,36546,73.4,27.0,0.0,1,1996.0,4.0,1.0,0,4,622,2,703,4,0,46,1,0
13,10,44724.0,17.41,0.0,3.0,,,3.0,0.0,886,25.3,5.0,0.0,2,1996.0,10.0,1.0,0,25,5313,0,156,4,0,8,0,0
14,1,100000.0,18.66,0.0,0.0,,,13.0,0.0,23484,70.1,37.0,0.0,3,1999.0,10.0,1.0,0,18,970,2,653,4,0,4,0,0
15,10,75000.0,13.42,0.0,0.0,,,5.0,0.0,18591,37.9,19.0,0.0,3,1993.0,1.0,1.0,0,4,6557,2,440,0,1,14,1,0
16,10,22000.0,14.95,0.0,0.0,,,4.0,0.0,8511,78.8,9.0,0.0,3,1993.0,9.0,1.0,1,19,4639,1,269,3,1,9,2,0
17,1,30000.0,19.32,0.0,0.0,,,9.0,0.0,5276,62.1,19.0,0.0,3,2003.0,1.0,1.0,0,4,6547,3,50,4,0,30,2,0
18,3,63000.0,19.09,0.0,1.0,,,12.0,0.0,16167,70.3,27.0,0.0,2,1999.0,11.0,1.0,0,4,5943,1,657,4,0,4,1,0
19,3,120000.0,5.22,1.0,3.0,13.0,,5.0,0.0,49805,0.0,36.0,0.0,1,1996.0,12.0,1.0,0,10,4985,0,442,0,0,14,2,0
20,2,72000.0,17.48,0.0,6.0,,,13.0,0.0,1249,6.1,23.0,0.0,3,1997.0,11.0,1.0,1,21,3075,2,536,0,0,35,0,0
21,1,350000.0,12.22,0.0,0.0,34.0,,8.0,0.0,27733,80.4,24.0,0.0,3,1994.0,9.0,1.0,0,2,2241,3,187,4,0,44,1,0
22,10,56000.0,15.43,0.0,0.0,,,6.0,0.0,4971,43.5,19.0,0.0,1,1995.0,6.0,1.0,0,4,4077,1,642,4,0,4,1,0
23,1,191000.0,12.2,0.0,0.0,49.0,,16.0,0.0,444,2.5,54.0,0.0,2,1987.0,3.0,1.0,0,6,5444,0,269,0,0,9,0,0
24,10,47480.0,16.81,0.0,3.0,32.0,,10.0,0.0,150,3.1,24.0,0.0,3,1999.0,1.0,1.0,0,18,7281,0,26,4,0,29,0,0
25,8,33600.0,3.93,0.0,1.0,67.0,,5.0,0.0,8482,73.8,20.0,0.0,2,2000.0,2.0,1.0,0,12,4863,0,189,0,0,44,1,0
26,2,42000.0,15.89,0.0,1.0,,,10.0,0.0,20691,51.6,20.0,0.0,2,2000.0,5.0,1.0,0,18,4656,4,106,0,0,33,0,0
27,5,40000.0,10.71,0.0,0.0,,,11.0,0.0,2459,44.7,26.0,0.0,2,2005.0,7.0,1.0,0,4,3202,1,1,0,0,19,0,0
28,3,55000.0,24.94,0.0,8.0,,,16.0,0.0,41705,95.2,24.0,0.0,3,1994.0,4.0,1.0,0,2,3438,1,450,0,0,14,0,0
29,4,120000.0,0.0,0.0,0.0,48.0,,2.0,0.0,0,0.0,7.0,0.0,3,1995.0,7.0,1.0,0,18,2268,1,651,4,0,4,0,0
30,1,100000.0,19.99,0.0,1.0,58.0,,6.0,0.0,24678,79.0,22.0,0.0,2,2001.0,10.0,1.0,0,4,3342,4,158,0,0,7,1,0
31,3,48000.0,22.59,0.0,2.0,52.0,,10.0,0.0,2894,36.2,13.0,0.0,2,1997.0,6.0,1.0,0,4,7358,2,234,0,0,27,1,0
32,5,41000.0,20.69,0.0,0.0,39.0,,6.0,0.0,10949,61.9,12.0,0.0,3,2000.0,10.0,1.0,0,4,5977,3,696,4,0,36,0,0
33,1,8000.0,15.15,0.0,0.0,,,6.0,0.0,2146,20.2,16.0,0.0,1,2003.0,8.0,1.0,0,0,4455,0,250,4,0,10,2,0
34,10,80000.0,8.14,0.0,0.0,,,10.0,0.0,14563,68.1,23.0,0.0,2,1996.0,2.0,1.0,0,4,2900,3,487,0,0,16,1,0
35,2,95000.0,13.65,0.0,0.0,,,8.0,0.0,27686,54.3,26.0,0.0,1,2004.0,10.0,1.0,0,2,3083,2,185,4,0,44,1,0
